sample_id,dataset,relation,topic,profile,direct_disagreement,logic_or_evidence_challenge,counter_claim,targeted_response,agreement_or_neutral,C
4F-QUOTE-011,4Forums,quote,abortion,P0,0.8,0.6,0.8,,0.1,0.7444444444444445
4F-QUOTE-011,4Forums,quote,abortion,P1,0.6,0.5,0.8,,0.4,0.6111111111111112
4F-QUOTE-011,4Forums,quote,abortion,P2,0.5,0.45,0.75,,0.1,0.5833333333333334
4F-QUOTE-012,4Forums,quote,abortion,P0,0.4,0.7,0.0,,0.3,0.4444444444444444
4F-QUOTE-012,4Forums,quote,abortion,P1,0.0,0.6,0.0,,0.7,0.2333333333333333
4F-QUOTE-012,4Forums,quote,abortion,P2,0.0,0.5,0.0,,0.6,0.2111111111111111
4F-QUOTE-013,4Forums,quote,abortion,P0,0.7,0.8,0.5,,0.15,0.7055555555555554
4F-QUOTE-013,4Forums,quote,abortion,P1,0.7,0.8,0.7,,0.2,0.7444444444444444
4F-QUOTE-013,4Forums,quote,abortion,P2,0.65,0.7,0.45,,0.1,0.65
4F-QUOTE-014,4Forums,quote,abortion,P0,0.1,0.25,0.1,,0.8,0.1611111111111111
4F-QUOTE-014,4Forums,quote,abortion,P1,0.7,0.8,0.7,,0.1,0.7555555555555554
4F-QUOTE-014,4Forums,quote,abortion,P2,0.65,0.75,0.75,,0.1,0.7333333333333334
4F-QUOTE-015,4Forums,quote,abortion,P0,0.3,0.15,0.25,,0.6,0.25
4F-QUOTE-015,4Forums,quote,abortion,P1,0.2,0.1,0.1,,0.8,0.14444444444444446
4F-QUOTE-015,4Forums,quote,abortion,P2,0.15,0.05,0.2,,0.6,0.15555555555555556
4F-QUOTE-016,4Forums,quote,abortion,P0,0.9,0.8,0.7,,0.05,0.8277777777777777
4F-QUOTE-016,4Forums,quote,abortion,P1,0.8,0.6,0.7,,0.1,0.7222222222222221
4F-QUOTE-016,4Forums,quote,abortion,P2,0.85,0.5,0.7,,0.1,0.7055555555555556
4F-QUOTE-017,4Forums,quote,abortion,P0,0.78,0.88,0.72,,0.1,0.8133333333333332
4F-QUOTE-017,4Forums,quote,abortion,P1,0.8,0.85,0.8,,0.1,0.8277777777777777
4F-QUOTE-017,4Forums,quote,abortion,P2,0.85,0.75,0.85,,0.05,0.8277777777777777
4F-QUOTE-018,4Forums,quote,abortion,P0,0.94,0.88,0.92,,0.04,0.9177777777777778
4F-QUOTE-018,4Forums,quote,abortion,P1,0.9,0.85,0.9,,0.2,0.8722222222222223
4F-QUOTE-018,4Forums,quote,abortion,P2,0.9,0.85,0.9,,0.25,0.8666666666666667
4F-QUOTE-019,4Forums,quote,abortion,P0,0.86,0.72,0.8,,0.08,0.8066666666666666
4F-QUOTE-019,4Forums,quote,abortion,P1,0.9,0.6,0.85,,0.05,0.7944444444444444
4F-QUOTE-019,4Forums,quote,abortion,P2,0.8,0.6,0.8,,0.05,0.75
4F-QUOTE-020,4Forums,quote,abortion,P0,0.66,0.48,0.72,,0.14,0.6355555555555555
4F-QUOTE-020,4Forums,quote,abortion,P1,0.8,0.5,0.75,,0.1,0.7
4F-QUOTE-020,4Forums,quote,abortion,P2,0.7,0.4,0.8,,0.1,0.6444444444444444
4F-QUOTE-021,4Forums,quote,abortion,P0,0.84,0.9,0.86,,0.08,0.8733333333333333
4F-QUOTE-021,4Forums,quote,abortion,P1,0.7,0.9,0.8,,0.1,0.8111111111111111
4F-QUOTE-021,4Forums,quote,abortion,P2,0.7,0.9,0.85,,0.1,0.8222222222222222
4F-QUOTE-022,4Forums,quote,abortion,P0,0.3,0.25,0.55,,0.38,0.37444444444444447
4F-QUOTE-022,4Forums,quote,abortion,P1,0.3,0.2,0.4,,0.2,0.3444444444444445
4F-QUOTE-022,4Forums,quote,abortion,P2,0.45,0.3,0.65,,0.15,0.4888888888888889
4F-QUOTE-023,4Forums,quote,abortion,P0,0.08,0.16,0.34,,0.72,0.18666666666666668
4F-QUOTE-023,4Forums,quote,abortion,P1,0.1,0.1,0.2,,0.7,0.14444444444444446
4F-QUOTE-023,4Forums,quote,abortion,P2,0.0,0.0,0.15,,0.8,0.05555555555555555
4F-QUOTE-024,4Forums,quote,abortion,P0,0.45,0.62,0.28,,0.38,0.48777777777777775
4F-QUOTE-024,4Forums,quote,abortion,P1,0.6,0.8,0.6,,0.1,0.7
4F-QUOTE-024,4Forums,quote,abortion,P2,0.55,0.85,0.45,,0.05,0.6722222222222222
4F-QUOTE-025,4Forums,quote,abortion,P0,0.65,0.9,0.5,,0.1,0.7277777777777777
4F-QUOTE-025,4Forums,quote,abortion,P1,0.8,0.85,0.55,,0.15,0.7666666666666666
4F-QUOTE-025,4Forums,quote,abortion,P2,0.75,0.85,0.6,,0.15,0.7611111111111111
4F-QUOTE-026,4Forums,quote,abortion,P0,0.8,0.7,0.8,,0.1,0.7777777777777777
4F-QUOTE-026,4Forums,quote,abortion,P1,0.7,0.8,0.8,,0.2,0.7666666666666666
4F-QUOTE-026,4Forums,quote,abortion,P2,0.8,0.65,0.85,,0.2,0.7611111111111112
4F-QUOTE-027,4Forums,quote,abortion,P0,0.55,0.15,0.8,,0.25,0.4944444444444445
4F-QUOTE-027,4Forums,quote,abortion,P1,0.75,0.3,0.8,,0.2,0.6166666666666666
4F-QUOTE-027,4Forums,quote,abortion,P2,0.85,0.2,0.8,,0.1,0.6277777777777779
4F-QUOTE-028,4Forums,quote,abortion,P0,0.15,0.1,0.05,,0.9,0.10555555555555554
4F-QUOTE-028,4Forums,quote,abortion,P1,0.1,0.0,0.0,,0.85,0.049999999999999996
4F-QUOTE-028,4Forums,quote,abortion,P2,0.1,0.0,0.05,,0.85,0.061111111111111116
4F-QUOTE-029,4Forums,quote,abortion,P0,0.9,0.45,0.9,,0.05,0.7555555555555555
4F-QUOTE-029,4Forums,quote,abortion,P1,0.9,0.7,0.9,,0.05,0.8388888888888889
4F-QUOTE-029,4Forums,quote,abortion,P2,0.95,0.7,0.9,,0.05,0.8555555555555555
4F-QUOTE-030,4Forums,quote,abortion,P0,0.85,0.8,0.7,,0.1,0.8055555555555555
4F-QUOTE-030,4Forums,quote,abortion,P1,0.85,0.8,0.7,,0.2,0.7944444444444445
4F-QUOTE-030,4Forums,quote,abortion,P2,0.8,0.85,0.75,,0.1,0.8166666666666667
4F-QUOTE-031,4Forums,quote,abortion,P0,0.85,0.9,0.85,,0.08,0.8744444444444445
4F-QUOTE-031,4Forums,quote,abortion,P1,0.9,0.8,0.8,,0.1,0.8444444444444444
4F-QUOTE-031,4Forums,quote,abortion,P2,0.8,0.85,0.75,,0.25,0.7999999999999999
4F-QUOTE-032,4Forums,quote,abortion,P0,0.75,0.25,0.7,,0.15,0.5833333333333333
4F-QUOTE-032,4Forums,quote,abortion,P1,0.6,0.5,0.6,,0.1,0.5999999999999999
4F-QUOTE-032,4Forums,quote,abortion,P2,0.6,0.35,0.5,,0.1,0.5277777777777778
4F-QUOTE-033,4Forums,quote,abortion,P0,0.1,0.05,0.05,,0.85,0.07777777777777778
4F-QUOTE-033,4Forums,quote,abortion,P1,0.05,0.0,0.0,,0.7,0.05
4F-QUOTE-033,4Forums,quote,abortion,P2,0.0,0.0,0.0,,0.6,0.04444444444444445
4F-QUOTE-034,4Forums,quote,evolution,P0,0.35,0.25,0.1,,0.5,0.2777777777777778
4F-QUOTE-034,4Forums,quote,evolution,P1,0.3,0.2,0.3,,0.6,0.2777777777777778
4F-QUOTE-034,4Forums,quote,evolution,P2,0.0,0.0,0.0,,0.8,0.02222222222222222
4F-QUOTE-035,4Forums,quote,evolution,P0,0.1,0.0,0.0,,0.85,0.049999999999999996
4F-QUOTE-035,4Forums,quote,evolution,P1,0.0,0.0,0.0,,0.85,0.01666666666666667
4F-QUOTE-035,4Forums,quote,evolution,P2,0.0,0.0,0.0,,0.9,0.01111111111111111
4F-QUOTE-036,4Forums,quote,evolution,P0,0.9,0.7,0.85,,0.05,0.8277777777777777
4F-QUOTE-036,4Forums,quote,evolution,P1,0.9,0.75,0.9,,0.05,0.8555555555555555
4F-QUOTE-036,4Forums,quote,evolution,P2,0.85,0.6,0.75,,0.05,0.7555555555555554
4F-QUOTE-037,4Forums,quote,evolution,P0,0.0,0.0,0.0,,0.95,0.00555555555555556
4F-QUOTE-037,4Forums,quote,evolution,P1,0.0,0.0,0.1,,0.9,0.03333333333333333
4F-QUOTE-037,4Forums,quote,evolution,P2,0.0,0.0,0.2,,0.8,0.06666666666666667
4F-QUOTE-038,4Forums,quote,evolution,P0,0.0,0.0,0.0,,0.9,0.01111111111111111
4F-QUOTE-038,4Forums,quote,evolution,P1,0.0,0.0,0.0,,0.95,0.00555555555555556
4F-QUOTE-038,4Forums,quote,evolution,P2,0.0,0.0,0.0,,0.9,0.01111111111111111
4F-QUOTE-039,4Forums,quote,evolution,P0,0.2,0.0,0.0,,0.7,0.09999999999999999
4F-QUOTE-039,4Forums,quote,evolution,P1,0.05,0.1,0.0,,0.65,0.08888888888888888
4F-QUOTE-039,4Forums,quote,evolution,P2,0.0,0.0,0.0,,0.8,0.02222222222222222
4F-QUOTE-040,4Forums,quote,evolution,P0,0.25,0.0,0.0,,0.6,0.12777777777777777
4F-QUOTE-040,4Forums,quote,evolution,P1,0.05,0.0,0.0,,0.6,0.061111111111111116
4F-QUOTE-040,4Forums,quote,evolution,P2,0.1,0.0,0.0,,0.7,0.06666666666666667
4F-QUOTE-041,4Forums,quote,evolution,P0,0.9,0.85,0.9,,0.05,0.888888888888889
4F-QUOTE-041,4Forums,quote,evolution,P1,0.9,0.95,0.9,,0.05,0.9222222222222222
4F-QUOTE-041,4Forums,quote,evolution,P2,0.9,0.9,0.9,,0.1,0.9
4F-QUOTE-042,4Forums,quote,evolution,P0,0.6,0.7,0.4,,0.35,0.5944444444444444
4F-QUOTE-042,4Forums,quote,evolution,P1,0.45,0.65,0.4,,0.55,0.5055555555555555
4F-QUOTE-042,4Forums,quote,evolution,P2,0.2,0.7,0.3,,0.8,0.3888888888888889
4F-QUOTE-043,4Forums,quote,evolution,P0,0.95,0.85,0.95,,0.02,0.9199999999999999
4F-QUOTE-043,4Forums,quote,evolution,P1,0.95,0.9,0.95,,0.05,0.9333333333333331
4F-QUOTE-043,4Forums,quote,evolution,P2,1.0,0.9,1.0,,0.0,0.9666666666666667
4F-QUOTE-044,4Forums,quote,evolution,P0,0.15,0.4,0.05,,0.65,0.2333333333333333
4F-QUOTE-044,4Forums,quote,evolution,P1,0.1,0.15,0.05,,0.8,0.11666666666666664
4F-QUOTE-044,4Forums,quote,evolution,P2,0.1,0.1,0.0,,0.8,0.08888888888888888
4F-QUOTE-045,4Forums,quote,evolution,P0,0.3,0.45,0.4,,0.6,0.3833333333333334
4F-QUOTE-045,4Forums,quote,evolution,P1,0.6,0.7,0.7,,0.2,0.6777777777777779
4F-QUOTE-045,4Forums,quote,evolution,P2,0.5,0.7,0.7,,0.3,0.6333333333333333
4F-QUOTE-046,4Forums,quote,evolution,P0,0.95,0.9,0.95,,0.02,0.9366666666666665
4F-QUOTE-046,4Forums,quote,evolution,P1,0.9,0.9,0.9,,0.05,0.9055555555555556
4F-QUOTE-046,4Forums,quote,evolution,P2,0.9,0.9,0.9,,0.05,0.9055555555555556
4F-QUOTE-047,4Forums,quote,evolution,P0,0.5,0.7,0.55,,0.35,0.5944444444444443
4F-QUOTE-047,4Forums,quote,evolution,P1,0.6,0.7,0.7,,0.3,0.6666666666666666
4F-QUOTE-047,4Forums,quote,evolution,P2,0.6,0.7,0.7,,0.3,0.6666666666666666
4F-QUOTE-048,4Forums,quote,evolution,P0,0.1,0.15,0.2,,0.85,0.14444444444444446
4F-QUOTE-048,4Forums,quote,evolution,P1,0.1,0.1,0.1,,0.85,0.10555555555555556
4F-QUOTE-048,4Forums,quote,evolution,P2,0.0,0.0,0.0,,0.9,0.01111111111111111
4F-QUOTE-049,4Forums,quote,evolution,P0,0.2,0.1,0.15,,0.6,0.17777777777777778
4F-QUOTE-049,4Forums,quote,evolution,P1,0.0,0.1,0.1,,0.8,0.07777777777777778
4F-QUOTE-049,4Forums,quote,evolution,P2,0.05,0.05,0.1,,0.7,0.0888888888888889
4F-QUOTE-050,4Forums,quote,evolution,P0,0.0,0.0,0.0,,1.0,0.0
4F-QUOTE-050,4Forums,quote,evolution,P1,0.0,0.0,0.0,,1.0,0.0
4F-QUOTE-050,4Forums,quote,evolution,P2,0.0,0.0,0.0,,0.95,0.00555555555555556
4F-QUOTE-051,4Forums,quote,evolution,P0,0.75,0.65,0.8,,0.15,0.7388888888888889
4F-QUOTE-051,4Forums,quote,evolution,P1,0.6,0.5,0.6,,0.3,0.5777777777777776
4F-QUOTE-051,4Forums,quote,evolution,P2,0.45,0.3,0.5,,0.4,0.42777777777777776
4F-QUOTE-052,4Forums,quote,evolution,P0,0.5,0.8,0.75,,0.15,0.6944444444444444
4F-QUOTE-052,4Forums,quote,evolution,P1,0.8,0.7,0.7,,0.1,0.7555555555555554
4F-QUOTE-052,4Forums,quote,evolution,P2,0.7,0.8,0.75,,0.1,0.7666666666666666
4F-QUOTE-053,4Forums,quote,evolution,P0,0.0,0.0,0.0,,0.95,0.00555555555555556
4F-QUOTE-053,4Forums,quote,evolution,P1,0.0,0.0,0.0,,0.95,0.00555555555555556
4F-QUOTE-053,4Forums,quote,evolution,P2,0.0,0.0,0.0,,0.85,0.01666666666666667
4F-QUOTE-054,4Forums,quote,evolution,P0,0.1,0.1,0.1,,0.85,0.10555555555555556
4F-QUOTE-054,4Forums,quote,evolution,P1,0.0,0.0,0.05,,0.9,0.022222222222222223
4F-QUOTE-054,4Forums,quote,evolution,P2,0.0,0.0,0.0,,0.8,0.02222222222222222
4F-QUOTE-055,4Forums,quote,evolution,P0,0.55,0.3,0.75,,0.25,0.5333333333333333
4F-QUOTE-055,4Forums,quote,evolution,P1,0.5,0.3,0.6,,0.3,0.47777777777777775
4F-QUOTE-055,4Forums,quote,evolution,P2,0.4,0.0,0.5,,0.35,0.3166666666666667
4F-QUOTE-056,4Forums,quote,evolution,P0,0.05,0.0,0.15,,0.9,0.0611111111111111
4F-QUOTE-056,4Forums,quote,evolution,P1,0.1,0.0,0.2,,0.9,0.08888888888888889
4F-QUOTE-056,4Forums,quote,evolution,P2,0.1,0.0,0.3,,0.8,0.1222222222222222
4F-QUOTE-057,4Forums,quote,evolution,P0,0.86,0.92,0.88,,0.06,0.8933333333333333
4F-QUOTE-057,4Forums,quote,evolution,P1,0.5,0.5,0.5,,0.1,0.5444444444444445
4F-QUOTE-057,4Forums,quote,evolution,P2,0.7,0.6,0.7,,0.0,0.7
4F-QUOTE-058,4Forums,quote,gay_marriage,P0,0.74,0.18,0.32,,0.16,0.47111111111111115
4F-QUOTE-058,4Forums,quote,gay_marriage,P1,0.5,0.2,0.45,,0.05,0.4388888888888889
4F-QUOTE-058,4Forums,quote,gay_marriage,P2,0.3,0.0,0.2,,0.1,0.24444444444444446
4F-QUOTE-059,4Forums,quote,gay_marriage,P0,0.82,0.58,0.74,,0.08,0.7333333333333333
4F-QUOTE-059,4Forums,quote,gay_marriage,P1,0.6,0.6,0.65,,0.1,0.6444444444444444
4F-QUOTE-059,4Forums,quote,gay_marriage,P2,0.5,0.5,0.6,,0.1,0.5666666666666667
4F-QUOTE-060,4Forums,quote,gay_marriage,P0,0.72,0.05,0.42,,0.22,0.43666666666666665
4F-QUOTE-060,4Forums,quote,gay_marriage,P1,0.5,0.05,0.4,,0.2,0.3611111111111111
4F-QUOTE-060,4Forums,quote,gay_marriage,P2,0.6,0.0,0.5,,0.0,0.4222222222222222
4F-QUOTE-061,4Forums,quote,gay_marriage,P0,0.55,0.88,0.16,,0.18,0.6033333333333335
4F-QUOTE-061,4Forums,quote,gay_marriage,P1,0.6,0.75,0.6,,0.1,0.6833333333333332
4F-QUOTE-061,4Forums,quote,gay_marriage,P2,0.6,0.8,0.5,,0.0,0.6888888888888889
4F-QUOTE-062,4Forums,quote,gay_marriage,P0,0.91,0.86,0.88,,0.04,0.8922222222222222
4F-QUOTE-062,4Forums,quote,gay_marriage,P1,0.8,0.75,0.8,,0.05,0.7999999999999999
4F-QUOTE-062,4Forums,quote,gay_marriage,P2,0.9,0.8,0.9,,0.0,0.8777777777777778
4F-QUOTE-063,4Forums,quote,gay_marriage,P0,0.0,0.0,0.0,,0.96,0.004444444444444448
4F-QUOTE-063,4Forums,quote,gay_marriage,P1,0.0,0.0,0.0,,0.9,0.01111111111111111
4F-QUOTE-063,4Forums,quote,gay_marriage,P2,0.0,0.0,0.0,,0.9,0.01111111111111111
4F-QUOTE-064,4Forums,quote,gay_marriage,P0,0.02,0.02,0.02,,0.93,0.02555555555555555
4F-QUOTE-064,4Forums,quote,gay_marriage,P1,0.05,0.05,0.05,,0.85,0.061111111111111116
4F-QUOTE-064,4Forums,quote,gay_marriage,P2,0.0,0.0,0.0,,0.9,0.01111111111111111
4F-QUOTE-065,4Forums,quote,gay_marriage,P0,0.92,0.65,0.88,,0.04,0.8255555555555555
4F-QUOTE-065,4Forums,quote,gay_marriage,P1,0.9,0.5,0.85,,0.05,0.7611111111111112
4F-QUOTE-065,4Forums,quote,gay_marriage,P2,0.85,0.5,0.8,,0.05,0.7333333333333334
4F-QUOTE-066,4Forums,quote,gay_marriage,P0,0.72,0.78,0.68,,0.28,0.731111111111111
4F-QUOTE-066,4Forums,quote,gay_marriage,P1,0.65,0.6,0.7,,0.35,0.6444444444444445
4F-QUOTE-066,4Forums,quote,gay_marriage,P2,0.45,0.6,0.55,,0.4,0.538888888888889
4F-QUOTE-067,4Forums,quote,gay_marriage,P0,0.12,0.08,0.08,,0.8,0.10666666666666666
4F-QUOTE-067,4Forums,quote,gay_marriage,P1,0.1,0.0,0.05,,0.8,0.06666666666666667
4F-QUOTE-067,4Forums,quote,gay_marriage,P2,0.0,0.0,0.0,,0.85,0.01666666666666667
4F-QUOTE-068,4Forums,quote,gay_marriage,P0,0.93,0.82,0.9,,0.03,0.8911111111111112
4F-QUOTE-068,4Forums,quote,gay_marriage,P1,0.9,0.8,0.8,,0.1,0.8444444444444444
4F-QUOTE-068,4Forums,quote,gay_marriage,P2,0.8,0.75,0.7,,0.05,0.7777777777777777
4F-QUOTE-069,4Forums,quote,gay_marriage,P0,0.9,0.75,0.9,,0.05,0.8555555555555555
4F-QUOTE-069,4Forums,quote,gay_marriage,P1,0.9,0.6,0.9,,0.05,0.8055555555555555
4F-QUOTE-069,4Forums,quote,gay_marriage,P2,0.9,0.4,0.9,,0.0,0.7444444444444445
4F-QUOTE-070,4Forums,quote,gay_marriage,P0,0.5,0.9,0.7,,0.12,0.72
4F-QUOTE-070,4Forums,quote,gay_marriage,P1,0.65,0.85,0.45,,0.1,0.7
4F-QUOTE-070,4Forums,quote,gay_marriage,P2,0.35,0.85,0.55,,0.1,0.6222222222222221
4F-QUOTE-071,4Forums,quote,gay_marriage,P0,0.55,0.88,0.45,,0.12,0.6744444444444444
4F-QUOTE-071,4Forums,quote,gay_marriage,P1,0.6,0.85,0.3,,0.15,0.6444444444444444
4F-QUOTE-071,4Forums,quote,gay_marriage,P2,0.35,0.8,0.45,,0.15,0.5777777777777778
4F-QUOTE-072,4Forums,quote,gay_marriage,P0,0.95,0.7,0.92,,0.02,0.8633333333333333
4F-QUOTE-072,4Forums,quote,gay_marriage,P1,0.95,0.7,0.9,,0.05,0.8555555555555555
4F-QUOTE-072,4Forums,quote,gay_marriage,P2,0.9,0.7,0.85,,0.0,0.8333333333333333
4F-QUOTE-073,4Forums,quote,gay_marriage,P0,0.7,0.05,0.8,,0.1,0.5277777777777778
4F-QUOTE-073,4Forums,quote,gay_marriage,P1,0.6,0.2,0.6,,0.25,0.48333333333333334
4F-QUOTE-073,4Forums,quote,gay_marriage,P2,0.6,0.35,0.7,,0.05,0.5777777777777776
4F-QUOTE-074,4Forums,quote,gay_marriage,P0,0.9,0.95,0.9,,0.03,0.9244444444444444
4F-QUOTE-074,4Forums,quote,gay_marriage,P1,0.95,0.9,0.9,,0.05,0.9222222222222222
4F-QUOTE-074,4Forums,quote,gay_marriage,P2,0.9,0.9,0.9,,0.0,0.9111111111111112
4F-QUOTE-075,4Forums,quote,gay_marriage,P0,0.95,0.85,0.9,,0.03,0.9077777777777778
4F-QUOTE-075,4Forums,quote,gay_marriage,P1,0.9,0.85,0.9,,0.05,0.888888888888889
4F-QUOTE-075,4Forums,quote,gay_marriage,P2,0.9,0.8,0.9,,0.0,0.8777777777777778
4F-QUOTE-076,4Forums,quote,gay_marriage,P0,0.6,0.65,0.45,,0.2,0.6055555555555556
4F-QUOTE-076,4Forums,quote,gay_marriage,P1,0.35,0.55,0.35,,0.6,0.4222222222222222
4F-QUOTE-076,4Forums,quote,gay_marriage,P2,0.45,0.6,0.5,,0.3,0.538888888888889
4F-QUOTE-077,4Forums,quote,gay_marriage,P0,0.65,0.05,0.0,,0.18,0.3244444444444445
4F-QUOTE-077,4Forums,quote,gay_marriage,P1,0.45,0.15,0.05,,0.15,0.3055555555555556
4F-QUOTE-077,4Forums,quote,gay_marriage,P2,0.45,0.1,0.05,,0.15,0.2888888888888889
4F-QUOTE-078,4Forums,quote,gay_marriage,P0,0.88,0.9,0.88,,0.04,0.8955555555555555
4F-QUOTE-078,4Forums,quote,gay_marriage,P1,0.9,0.85,0.9,,0.1,0.8833333333333333
4F-QUOTE-078,4Forums,quote,gay_marriage,P2,0.9,0.9,0.9,,0.0,0.9111111111111112
4F-QUOTE-079,4Forums,quote,gay_marriage,P0,0.55,0.15,0.2,,0.25,0.3611111111111111
4F-QUOTE-079,4Forums,quote,gay_marriage,P1,0.25,0.1,0.2,,0.45,0.22222222222222224
4F-QUOTE-079,4Forums,quote,gay_marriage,P2,0.5,0.15,0.25,,0.2,0.3611111111111111
4F-QUOTE-080,4Forums,quote,gay_marriage,P0,0.08,0.0,0.12,,0.85,0.06999999999999999
4F-QUOTE-080,4Forums,quote,gay_marriage,P1,0.1,0.0,0.2,,0.6,0.12222222222222223
4F-QUOTE-080,4Forums,quote,gay_marriage,P2,0.05,0.0,0.0,,0.8,0.03888888888888888
4F-QUOTE-081,4Forums,quote,gay_marriage,P0,0.55,0.5,0.45,,0.28,0.53
4F-QUOTE-081,4Forums,quote,gay_marriage,P1,0.55,0.5,0.5,,0.25,0.5444444444444445
4F-QUOTE-081,4Forums,quote,gay_marriage,P2,0.5,0.7,0.5,,0.2,0.6
4F-QUOTE-082,4Forums,quote,gay_marriage,P0,0.95,0.9,0.85,,0.03,0.9133333333333332
4F-QUOTE-082,4Forums,quote,gay_marriage,P1,0.85,0.75,0.85,,0.1,0.8222222222222222
4F-QUOTE-082,4Forums,quote,gay_marriage,P2,0.85,0.8,0.85,,0.05,0.8444444444444444
4F-QUOTE-083,4Forums,quote,gay_marriage,P0,0.4,0.12,0.22,,0.62,0.2644444444444445
4F-QUOTE-083,4Forums,quote,gay_marriage,P1,0.45,0.25,0.35,,0.3,0.3888888888888889
4F-QUOTE-083,4Forums,quote,gay_marriage,P2,0.55,0.15,0.55,,0.3,0.4333333333333334
4F-QUOTE-084,4Forums,quote,gay_marriage,P0,0.68,0.2,0.52,,0.24,0.49333333333333335
4F-QUOTE-084,4Forums,quote,gay_marriage,P1,0.4,0.15,0.35,,0.3,0.33888888888888885
4F-QUOTE-084,4Forums,quote,gay_marriage,P2,0.45,0.05,0.4,,0.35,0.32777777777777783
4F-QUOTE-085,4Forums,quote,gay_marriage,P0,0.92,0.88,0.9,,0.04,0.9066666666666667
4F-QUOTE-085,4Forums,quote,gay_marriage,P1,0.9,0.8,0.9,,0.1,0.8666666666666667
4F-QUOTE-085,4Forums,quote,gay_marriage,P2,0.9,0.85,0.9,,0.05,0.888888888888889
4F-QUOTE-086,4Forums,quote,gay_marriage,P0,0.95,0.8,0.9,,0.02,0.8922222222222221
4F-QUOTE-086,4Forums,quote,gay_marriage,P1,0.9,0.7,0.9,,0.05,0.8388888888888889
4F-QUOTE-086,4Forums,quote,gay_marriage,P2,0.9,0.65,0.9,,0.05,0.8222222222222222
4F-QUOTE-087,4Forums,quote,gay_marriage,P0,0.9,0.75,0.85,,0.05,0.8444444444444444
4F-QUOTE-087,4Forums,quote,gay_marriage,P1,0.85,0.7,0.9,,0.1,0.8166666666666667
4F-QUOTE-087,4Forums,quote,gay_marriage,P2,0.8,0.6,0.85,,0.1,0.7555555555555554
4F-QUOTE-088,4Forums,quote,gun_control,P0,0.95,0.85,0.88,,0.02,0.9044444444444445
4F-QUOTE-088,4Forums,quote,gun_control,P1,0.9,0.8,0.9,,0.05,0.8722222222222222
